Article Title,Location,Latitude,Longitude
Social isolation of nature conservation in the temperate rainforest of southern Chile. Study case: Alerce Andino National Park and Llanquihue National Reserve,Buffer,,
"Biomass, seed production and phenology of Chusquea montana after a massive and synchronous flowering event in Puyehue National Park, Chile",,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Puerto Montt,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Osorno,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Valdivia,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Los Lagos,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Raumen,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Futrono,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Paillaco,,
Analysis of the primary centers linked to tourism in Puyehue National Park,la Uni—n,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Rio Bueno,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Lago Ranco,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Entre Lagos,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Santa Elvira,,
Analysis of the primary centers linked to tourism in Puyehue National Park,T Puyehue,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Aguas Calientes,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Antillanca,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Anticura,,
Analysis of the primary centers linked to tourism in Puyehue National Park,PC Samore,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Angostura,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Bariloche,,
Analysis of the primary centers linked to tourism in Puyehue National Park,Puerto Octay,,
Cinderella's helping pigeons of the microbial world: The potential of testate amoebae for identifying cryptotephra,,,
"The Oldest, Slowest Rainforests in the World? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile",,,
Environmental correlates of stem radius change in the endangered Fitzroya cupressoides forests of southern Chile,AANP,-41.533333,-72.583333
Comparison of the severity of invasion associated to pathways with different disturbance levels in a temperate rainforest in southern Chile,,,
Functional variation of leaf succulence in a cold rainforest epiphyte,PNP,-40.65,-72.95
"USE OF NULL MODELS TO EXPLAIN CRUSTACEAN ZOOPLANKTON ASSEMBLAGES IN WATERBODIES OF ALERCE ANDINO NATIONAL PARK (41 degrees S, CHILE)",,,
"Thecamoebians (Protozoa : Rhizopoda) of the peatland from Puyehue National Park (40 degrees 45'S; 72 degrees 19'W), Chile",Turbera,-40.75,-72.316667
Nothofagus regeneration dynamics in south-central Chile: A test of a general model,PNP,-40.583333,-72.116667
