Article Title,Publication Type,Authors,Source Title,Keywords used,Area of study,Study location,Objective,Methodology,Process,Study object,Publication Year,Volume,Issue,Start Page,End Page,DOI,UT (Unique WOS ID)
Social isolation of nature conservation in the temperate rainforest of southern Chile. Study case: Alerce Andino National Park and Llanquihue National Reserve,J,"Mardones Rivera, G",CUHSO-CULTURA-HOMBRE-SOCIEDAD,Name of parks,Social-ecological,Adjacent to AANP,Characterization of social actors and relationships,Quantitative and qualitative methods,Participation,People,2018,28,2,141,169,10.7770/0719-2789.2018.CUHSO.05.A03,WOS:000453437400008
"Biomass, seed production and phenology of Chusquea montana after a massive and synchronous flowering event in Puyehue National Park, Chile",J,"de la Fuente, A; Pacheco, N",BOSQUE,Name of parks,Ecosystem functioning and services,PNP,"Biomass, seed productiona and fenology",Field collection,Productivity,Chusquea,2017,38,3,599,604,10.4067/S0717-92002017000300018,WOS:000417488400018
Spectral Properties Observations in Lakes of a Chilean National Park,J,"Escalante, PD; Castro, M; Acevedo, P; Esse, C",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,Name of parks,Hydrology,AANP,Lakes vegetation,Remote sensing,Forest characterization,Lakes,2017,26,1,425,429,10.15244/pjoes/64206,WOS:000394830000046
Analysis of the primary centers linked to tourism in Puyehue National Park,J,"Soza-Amigo, S; Urrutia, CR; Gonzalez, PA",REVISTA DE GEOGRAFIA NORTE GRANDE,Name of parks,Social-ecological,PNP,Turism,Survey,Connectivity,Urban areas,2016,,65,179,195,10.4067/S0718-34022016000300009,WOS:000398447200009
Cinderella's helping pigeons of the microbial world: The potential of testate amoebae for identifying cryptotephra,J,"Delaine, M; Fernandez, LD; du Chatelet, EA; Recourt, P; Potdevin, JL; Mitchell, EAD; Bernard, N",EUROPEAN JOURNAL OF PROTISTOLOGY,Name of parks,Ecosystem functioning and services,PNP,Detection of environmental cryptotephra,Field collection,Fixation,Protozoa,2016,55,,152,164,10.1016/j.ejop.2016.05.003,WOS:000388247900006
"The Oldest, Slowest Rainforests in the World? Massive Biomass and Slow Carbon Dynamics of Fitzroya cupressoides Temperate Forests in Southern Chile",J,"Urrutia-Jalabert, R; Malhi, Y; Lara, A",PLOS ONE,Name of parks,Ecosystem functioning and services,AANP,Carbon dynamics detection,Field survey,Growth,F. cupressoides,2015,10,9,,,10.1371/journal.pone.0137569,WOS:000360932800097
Environmental correlates of stem radius change in the endangered Fitzroya cupressoides forests of southern Chile,J,"Urrutia-Jalabert, R; Rossi, S; Deslauriers, A; Malhi, Y; Lara, A",AGRICULTURAL AND FOREST METEOROLOGY,Name of parks,Ecosystem functioning and services,AANP,environmental variables,Field survey,Growth,F. cupressoides,2015,200,,209,221,10.1016/j.agrformet.2014.10.001,WOS:000347582300021
Comparison of the severity of invasion associated to pathways with different disturbance levels in a temperate rainforest in southern Chile,J,"Mardones, D; Fuentes, N; Saldana, A",GAYANA BOTANICA,Name of parks,Ecosystem functioning and services,PNP,severity of invasion in different disturbance levels,Field experiment,Invasion,Native forest,2015,72,2,221,230,10.4067/S0717-66432015000200006,WOS:000368564800006
Functional variation of leaf succulence in a cold rainforest epiphyte,J,"Godoy, O; Gianoli, E",PLANT ECOLOGY AND EVOLUTION,Name of parks,Ecosystem functioning and services,PNP,Leaf  succulence in Sarmienta is a fixed or functional trait,Field survey,Functional variation,Sarmienta,2013,146,2,167,172,10.5091/plecevo.2013.800,WOS:000321680200003
"USE OF NULL MODELS TO EXPLAIN CRUSTACEAN ZOOPLANKTON ASSEMBLAGES IN WATERBODIES OF ALERCE ANDINO NATIONAL PARK (41 degrees S, CHILE)",J,"De Los Rios-Escalante, P; Hauenstein, E; Romero-Mieres, M; Acevedo, P",CRUSTACEANA,Name of parks,Ecosystem functioning and services,AANP,Inventory of the aquatic and riparian species,Field collection,Community ensemble,Crustacean,2012,85,6,713,722,10.1163/156854012X643933,WOS:000306632900005
"Thecamoebians (Protozoa : Rhizopoda) of the peatland from Puyehue National Park (40 degrees 45'S; 72 degrees 19'W), Chile",J,"Zapata, J; Yanez, M; Rudolph, E",GAYANA,Name of parks,Freshwater biodiversity,PNP,distribution ofthecamoebian fauna within a peatland,Field collection,Distribution,Protozoa,2008,72,1,9,17,,WOS:000258924500002
Nothofagus regeneration dynamics in south-central Chile: A test of a general model,J,"Pollmann, W; Veblen, TT",ECOLOGICAL MONOGRAPHS,Name of parks,Ecosystem functioning and services,PNP,successional status of shade-intolerant Nothofagus is related to siteconditions and disturbance,Field collection,Regeneration,Nothofagus,2004,74,4,615,634,10.1890/04-0004,WOS:000225176500004
"Atmospheric deposition of nitrogen in a transect from the Central Valley to Cordillera de Los Andes, south-central Chile",J,"Oyarzun, CE; Godoy, R; Leiva, S",REVISTA CHILENA DE HISTORIA NATURAL,Name of parks,Environmental conditions,PNP,"evaluates the atmospheric deposition of nitrogen compounds (NO3- y NH4+) in the precipitation, inan altitudinal transect",Field collection,Pollution,Precipitation,2002,75,1,233,243,,WOS:000174872500021
Seasonal variation and enzymatic potential of microfungi associated with the decomposition of Nothofagus pumilio leaf litter,J,"Valenzuela, E; Leiva, S; Godoy, R",REVISTA CHILENA DE HISTORIA NATURAL,Name of parks,Ecosystem functioning and services,PNP,seasonal variation and enzymatic potential of microfungi isolated from senescent leaves and leaf litter of Nothofagus pumilio,Field collection,Decomposition,Nothofagus,2001,74,4,737,749,,WOS:000172774500001
Studies on Chilean lichens XXXI. Additions to the chemistry of Pseudocyphellaria.,J,"Piovano, M; Chamy, MC; Garbarino, JA",BOLETIN DE LA SOCIEDAD CHILENA DE QUIMICA,Name of parks,Ecosystem functioning and services,PNP,chemical composition,Field collection,Composition,Lichen,2001,46,1,23,27,,WOS:000168175900005
Precipitation chemistry in deciduous and evergreen Nothofagus forests of southern Chile under a low-deposition climate,J,"Godoy, R; Oyarzun, C; Gerding, V",BASIC AND APPLIED ECOLOGY,Name of parks,Hydrology,PNP,the changes that occur in the chemical composition of bulk precipitation ,Field experiment,Infiltration,Precipitation,2001,2,1,65,72,10.1078/1439-1791-00037,WOS:000171075600008
"Hydrochemical fluxes in a Nothofagus pumilio forest in Puyehue National Park, southern Chile",J,"Godoy, R; Oyarzun, C; Bahamondes, J",REVISTA CHILENA DE HISTORIA NATURAL,Name of parks,Hydrology,PNP,Hydrochemical fluxes in a Nothofagus pumilio forest ,Field experiment,Infiltration,Precipitation,1999,72,4,579,594,,WOS:000084976900011
Differential Early Performance of Two Underplanted Hardwood Tree Species Following Restoration Treatments in High-Graded Temperate Rainforests,J,"Soto, DP; Donoso, PJ; Vasquez-Grandon, A; Gonzalez-Chang, M; Salas-Eljatib, C",FORESTS,Close area,Ecosystem functioning and services,Andes of Los Rios Region,assessed the early-growth of underplanted Ulmo and Raulíseedlings as a function of canopyopenness and initial restoration treatments ,Field experiment,Growth,Coihue-Rauli-Tepa forest,2020,11,4,,,10.3390/f11040401,WOS:000534632500039
Characterization of the Groundwater Storage Systems of South-Central Chile: An Approach Based on Recession Flow Analysis,J,"Parra, V; Arumi, JL; Munoz, E; Paredes, J",WATER,Close area,Hydrology,More than 5 regions,identify and characterize the behavior of groundwater storage systems in watershedswith different geological characteristics ,Modeling,Flow prediction,Groundwater Storage,2019,11,11,,,10.3390/w11112324,WOS:000502264500126
